SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
DV4340-601,Tiempo Legend 10 Elite AG 'Mad Brilliance Pack',130.66,179.06,72.97,225,2024,https://www.nike.com/t/tiempo-legend-10-academy-ag-low-top-soccer-cleats-P6NXdH/DV4340-601,https://www.goat.com/search?query=DV4340-601
DV4340-601,Tiempo Legend 10 Elite AG 'Mad Brilliance Pack',130.66,179.06,72.97,225,2024,https://www.nike.com/t/tiempo-legend-10-academy-ag-low-top-soccer-cleats-P6NXdH/DV4340-601,https://www.goat.com/search?query=DV4340-601
FJ2947-700,Vapor Edge Elite 360 2 'Super Bowl LVIII',128.34,78.27,163.97,323,2024,https://www.nike.com/t/vapor-edge-elite-360-2-nrg-mens-football-cleats-1wvHfl/FJ2947-700,https://www.goat.com/search?query=FJ2947-700
FJ2947-700,Vapor Edge Elite 360 2 'Super Bowl LVIII',128.34,78.27,163.97,323,2024,https://www.nike.com/t/vapor-edge-elite-360-2-nrg-mens-football-cleats-1wvHfl/FJ2947-700,https://www.goat.com/search?query=FJ2947-700
FQ1454-002,Zoom Mercurial Superfly 10 Elite FG '2024 Shadow Pack',119.54,41.94,285,447,2024,https://www.nike.com/t/mercurial-superfly-10-elite-fg-high-top-soccer-cleats-RRP8Cr/FQ1454-002,https://www.goat.com/search?query=FQ1454-002
FJ2554-002,Phantom GX 2 Elite AG Pro '2024 Shadow Pack',117.38,45.15,260,417,2024,https://www.nike.com/t/phantom-gx-2-elite-ag-low-top-soccer-cleats-RVpzb1/FJ2554-002,https://www.goat.com/search?query=FJ2554-002
FZ8627-001,Air Jordan 3 Retro MCS 'Black Cement',111.37,58.62,190,333,2024,https://www.nike.com/t/jordan-3-retro-mcs-mens-baseball-cleats-1CpQJb/FZ8627-001,https://www.goat.com/search?query=FZ8627-001
DV4022-001,Wmns Winflo 10 'Triple Black',109.89,174.51,62.97,191,2024,https://www.nike.com/t/wio-10-mens-road-running-shoes-mWSTws/DV4022-001,https://www.goat.com/search?query=DV4022-001
DH1349-001,Patta x Air Max 1 'Monarch',108.19,120.21,90,219,2021,https://www.nike.com/t/waffle-trainer-2-mens-shoes-tcxF6J/DH1349-001,https://www.goat.com/search?query=DH1349-001
DH1349-001,Patta x Air Max 1 'Monarch',108.19,120.21,90,219,2021,https://www.nike.com/t/waffle-trainer-2-mens-shoes-tcxF6J/DH1349-001,https://www.goat.com/search?query=DH1349-001
AH8050-029,Air Max 270 'Photon Dust Picante Red',101.55,63.47,160,289,2024,https://www.nike.com/t/air-max-270-mens-shoes-KkLcGR/AH8050-029,https://www.goat.com/search?query=AH8050-029
DJ9431-004,Air Zoom GT Jump 2 'Photon Dust Metallic Red Bronze',99.64,55.36,180,309,2024,https://www.nike.com/t/gt-jump-2-mens-basketball-shoes-CZpmDQ/DJ9431-004,https://www.goat.com/search?query=DJ9431-004
FB2908-002,Force Trout 9 Pro MCS 'Pewter Black',98.55,144.99,67.97,184,2023,https://www.nike.com/t/force-trout-9-pro-mcs-baseball-cleats-lJxVlB/FB2908-002,https://www.goat.com/search?query=FB2908-002
FB2908-002,Force Trout 9 Pro MCS 'Pewter Black',98.55,144.99,67.97,184,2023,https://www.nike.com/t/force-trout-9-pro-mcs-baseball-cleats-lJxVlB/FB2908-002,https://www.goat.com/search?query=FB2908-002
FN3717-001,SFB B2 'Triple Black',96.98,57.05,170,295,2023,https://www.nike.com/t/sfb-b2-mens-boots-Hjn3fB/FN3717-001,https://www.goat.com/search?query=FN3717-001
FN3720-900,SFB B2 'Coyote',96.98,57.05,170,295,2023,https://www.nike.com/t/sfb-b2-mens-boots-9SCZXk/FN3720-900,https://www.goat.com/search?query=FN3720-900
FV5291-100,Air Zoom Victory Tour 3 NRG Wide 'Accept and Embrace Pack',96.8,46.1,210,339,2024,https://www.nike.com/t/air-zoom-victory-tour-3-nrg-golf-shoes-wide-RMx7Xs/FV5291-100,https://www.goat.com/search?query=FV5291-100
FV5291-100,Air Zoom Victory Tour 3 NRG Wide 'Accept and Embrace Pack',96.8,46.1,210,339,2024,https://www.nike.com/t/air-zoom-victory-tour-3-nrg-golf-shoes-wide-RMx7Xs/FV5291-100,https://www.goat.com/search?query=FV5291-100
FN0555-101,Infinity Golf Next Nature 'White University Red',96.05,128.07,75,189,2024,https://www.nike.com/t/infinity-g-nn-golf-shoes-FgMbtr/FN0555-101,https://www.goat.com/search?query=FN0555-101
922474-001,SFB Gen 2 8 Inch Tactical Boot 'Triple Black',95.73,66.02,145,266,2017,https://www.nike.com/t/sfb-gen-2-8-tactical-boot-ZwTJlXe3/922474-001,https://www.goat.com/search?query=922474-001
CJ8524-012,Air Jordan 1 Retro MCS Low 'Light Smoke Grey',95.3,68.07,140,260,2023,https://www.nike.com/t/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j/CJ8524-012,https://www.goat.com/search?query=CJ8524-012
DR2693-301,Terra Kiger 9 'Bicoastal Red Stardust',95.21,59.51,160,282,2024,https://www.nike.com/t/kiger-9-mens-trail-running-shoes-TjtXhk/DR2693-301,https://www.goat.com/search?query=DR2693-301
FV6147-001,Huarache 9 Elite Low LAX SE 'Football Grey Black',94.92,75.94,125,243,2023,https://www.nike.com/t/huarache-9-elite-low-lax-se-lacrosse-cleats-P2hN2G/FV6147-001,https://www.goat.com/search?query=FV6147-001
CZ1884-010,Free Run 5.0 'Phantom Sail',94.58,94.58,100,215,2022,https://www.nike.com/t/free-run-5-mens-road-running-shoes-Xp40hf/CZ1884-010,https://www.goat.com/search?query=CZ1884-010
CZ1884-010,Free Run 5.0 'Phantom Sail',94.58,94.58,100,215,2022,https://www.nike.com/t/free-run-5-mens-road-running-shoes-Xp40hf/CZ1884-010,https://www.goat.com/search?query=CZ1884-010
FQ4154-700,Zoom Challenge 'Volt Armory Navy',94.49,78.74,120,237,2024,https://www.nike.com/t/zoom-challenge-mens-pickleball-shoes-TsV8q8/FQ4154-700,https://www.goat.com/search?query=FQ4154-700
HF3239-100,Air Zoom Hyperace 3 SE 'White Hyper Pink',94.44,72.65,130,248,2024,https://www.nike.com/t/hyperace-3-se-volleyball-shoes-wbJJGj/HF3239-100,https://www.goat.com/search?query=HF3239-100
DJ6516-103,Alpha Huarache Varsity 4 Low 'White Midnight Navy',94.24,125.65,75,187,2023,https://www.nike.com/t/alpha-huarache-varsity-4-low-mens-baseball-cleats-q4tT0B/DJ6516-103,https://www.goat.com/search?query=DJ6516-103
DJ6516-103,Alpha Huarache Varsity 4 Low 'White Midnight Navy',94.24,125.65,75,187,2023,https://www.nike.com/t/alpha-huarache-varsity-4-low-mens-baseball-cleats-q4tT0B/DJ6516-103,https://www.goat.com/search?query=DJ6516-103
FD2291-402,Interact Run 'College Navy',93.97,159.35,58.97,169,2023,https://www.nike.com/t/interact-run-mens-road-running-shoes-2pmmcR/FD2291-402,https://www.goat.com/search?query=FD2291-402
DR2686-402,Wildhorse 8 'Denim Turquoise Dark Russet',93.49,66.78,140,258,2024,https://www.nike.com/t/wildhorse-8-mens-trail-running-shoes-zPRz8Z/DR2686-402,https://www.goat.com/search?query=DR2686-402
