SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
DZ2615-006,Metcon 9 EasyOn 'Cement Grey Concord',90.73,60.0,150,266,2024,https://www.nike.com/t/metcon-9-easyon-mens-workout-shoes-0nCc2n/DZ2615-006,https://www.goat.com/search?query=DZ2615-006
FQ3875-001,Alpha Menace 4 Shark Wide 'Black White',90.71,165.0,55,161,2024,https://www.nike.com/t/alpha-menace-4-shark-football-cleats-wide-kJLfCJ/FQ3875-001,https://www.goat.com/search?query=FQ3875-001
FN4137-800,College Offcourt Slide 'Florida 2024',90.32,226.0,40,144,,https://www.nike.com/t/offcourt-florida-slides-PWWKqs/FN4137-800,https://www.goat.com/search?query=FN4137-800
FN4465-001,NFL x Offcourt Slide 'New Orleans Saints',90.32,226.0,40,144,2024,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://www.goat.com/search?query=FN4465-001
FN4465-001,NFL x Offcourt Slide 'New Orleans Saints',90.32,226.0,40,144,2024,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://www.goat.com/search?query=FN4465-001
DD0526-002,NFL x Offcourt Slide 'New York Giants',90.32,226.0,40,144,2023,https://www.nike.com/t/offcourt-new-york-giants-slide-5GQNJH/DD0526-002,https://www.goat.com/search?query=DD0526-002
DD0526-002,NFL x Offcourt Slide 'New York Giants',90.32,226.0,40,144,2023,https://www.nike.com/t/offcourt-new-york-giants-slide-5GQNJH/DD0526-002,https://www.goat.com/search?query=DD0526-002
DH6984-002,MLB x Offcourt Slide 'Miami Marlins',90.32,226.0,40,144,2023,https://www.nike.com/t/offcourt-miami-marlins-slide-B2ZZsZ/DH6984-002,https://www.goat.com/search?query=DH6984-002
AV3918-100,Air Force 1 High '07 LV8 Sport 'Knicks',89.75,96.0,93.97,203,2018,https://www.nike.com/t/air-jordan-1-retro-low-slip-womens-shoes-3lqhns/AV3918-100,https://www.goat.com/search?query=AV3918-100
FB2184-001,Wmns Asuna 3 Next Nature Slide 'Black White',88.94,198.0,45,148,2023,https://www.nike.com/t/asuna-3-next-nature-womens-slides-Tsj7hf/FB2184-001,https://www.goat.com/search?query=FB2184-001
FJ2558-001,Phantom GX 2 Elite FG 'Shadow Pack',87.47,125.0,70,174,2024,https://www.nike.com/t/phantom-luna-2-club-mg-high-top-soccer-cleats-dsl50X/FJ2558-001,https://www.goat.com/search?query=FJ2558-001
DD1068-008,Air Huarache 'Swoosh!',81.88,114.0,71.97,170,2023,https://www.nike.com/t/air-huarache-mens-shoes-JppwBb/DD1068-008,https://www.goat.com/search?query=DD1068-008
FZ3466-700,Alpha Huarache Elite 4 Mid 'Ronald Acu√±a Jr.' PE,78.24,71.0,110,208,,https://www.nike.com/t/alpha-huarache-elite-4-mid-ronald-acuña-jr-baseball-cleats-bsK64b/FZ3466-700,https://www.goat.com/search?query=FZ3466-700
DV6800-102,Victory Pro 3 Golf 'White Aquarius Blue',78.15,60.0,130,230,2024,https://www.nike.com/t/victory-pro-3-mens-golf-shoes-SsxNJ0/DV6800-102,https://www.goat.com/search?query=DV6800-102
FZ3190-400,Paris Saint-Germain x Offcourt Slide 'Midnight Navy University Red',77.65,194.0,40,130,,https://www.nike.com/t/offcourt-paris-saint-germain-soccer-slides-xWZKGQ/FZ3190-400,https://www.goat.com/search?query=FZ3190-400
